,mua_gia_1ACB,mua_gia_1BCM,mua_gia_1BID,mua_gia_1BVH,mua_gia_1CTG,mua_gia_1FPT,mua_gia_1GAS,mua_gia_1GVR,mua_gia_1HDB,mua_gia_1HPG,mua_gia_1MBB,mua_gia_1MSN,mua_gia_1MWG,mua_gia_1NVL,mua_gia_1PDR,mua_gia_1PLX,mua_gia_1POW,mua_gia_1SAB,mua_gia_1SSI,mua_gia_1STB,mua_gia_1TCB,mua_gia_1TPB,mua_gia_1VCB,mua_gia_1VHM,mua_gia_1VIB,mua_gia_1VIC,mua_gia_1VJC,mua_gia_1VNM,mua_gia_1VPB,mua_gia_1VRE,ban_gia_1ACB,ban_gia_1BCM,ban_gia_1BID,ban_gia_1BVH,ban_gia_1CTG,ban_gia_1FPT,ban_gia_1GAS,ban_gia_1GVR,ban_gia_1HDB,ban_gia_1HPG,ban_gia_1MBB,ban_gia_1MSN,ban_gia_1MWG,ban_gia_1NVL,ban_gia_1PDR,ban_gia_1PLX,ban_gia_1POW,ban_gia_1SAB,ban_gia_1SSI,ban_gia_1STB,ban_gia_1TCB,ban_gia_1TPB,ban_gia_1VCB,ban_gia_1VHM,ban_gia_1VIB,ban_gia_1VIC,ban_gia_1VJC,ban_gia_1VNM,ban_gia_1VPB,ban_gia_1VRE,Gia KL,mua_kl_1ACB,mua_kl_1BCM,mua_kl_1BID,mua_kl_1BVH,mua_kl_1CTG,mua_kl_1FPT,mua_kl_1GAS,mua_kl_1GVR,mua_kl_1HDB,mua_kl_1HPG,mua_kl_1MBB,mua_kl_1MSN,mua_kl_1MWG,mua_kl_1NVL,mua_kl_1PDR,mua_kl_1PLX,mua_kl_1POW,mua_kl_1SAB,mua_kl_1SSI,mua_kl_1STB,mua_kl_1TCB,mua_kl_1TPB,mua_kl_1VCB,mua_kl_1VHM,mua_kl_1VIB,mua_kl_1VIC,mua_kl_1VJC,mua_kl_1VNM,mua_kl_1VPB,mua_kl_1VRE,ban_kl_1ACB,ban_kl_1BCM,ban_kl_1BID,ban_kl_1BVH,ban_kl_1CTG,ban_kl_1FPT,ban_kl_1GAS,ban_kl_1GVR,ban_kl_1HDB,ban_kl_1HPG,ban_kl_1MBB,ban_kl_1MSN,ban_kl_1MWG,ban_kl_1NVL,ban_kl_1PDR,ban_kl_1PLX,ban_kl_1POW,ban_kl_1SAB,ban_kl_1SSI,ban_kl_1STB,ban_kl_1TCB,ban_kl_1TPB,ban_kl_1VCB,ban_kl_1VHM,ban_kl_1VIB,ban_kl_1VIC,ban_kl_1VJC,ban_kl_1VNM,ban_kl_1VPB,ban_kl_1VRE,mua_kl_2ACB,mua_kl_2BCM,mua_kl_2BID,mua_kl_2BVH,mua_kl_2CTG,mua_kl_2FPT,mua_kl_2GAS,mua_kl_2GVR,mua_kl_2HDB,mua_kl_2HPG,mua_kl_2MBB,mua_kl_2MSN,mua_kl_2MWG,mua_kl_2NVL,mua_kl_2PDR,mua_kl_2PLX,mua_kl_2POW,mua_kl_2SAB,mua_kl_2SSI,mua_kl_2STB,mua_kl_2TCB,mua_kl_2TPB,mua_kl_2VCB,mua_kl_2VHM,mua_kl_2VIB,mua_kl_2VIC,mua_kl_2VJC,mua_kl_2VNM,mua_kl_2VPB,mua_kl_2VRE,ban_kl_2ACB,ban_kl_2BCM,ban_kl_2BID,ban_kl_2BVH,ban_kl_2CTG,ban_kl_2FPT,ban_kl_2GAS,ban_kl_2GVR,ban_kl_2HDB,ban_kl_2HPG,ban_kl_2MBB,ban_kl_2MSN,ban_kl_2MWG,ban_kl_2NVL,ban_kl_2PDR,ban_kl_2PLX,ban_kl_2POW,ban_kl_2SAB,ban_kl_2SSI,ban_kl_2STB,ban_kl_2TCB,ban_kl_2TPB,ban_kl_2VCB,ban_kl_2VHM,ban_kl_2VIB,ban_kl_2VIC,ban_kl_2VJC,ban_kl_2VNM,ban_kl_2VPB,ban_kl_2VRE
0,24.05,81.1,45.6,49.45,28.55,78.2,103.3,14.55,17.85,20.35,17.4,80.7,38.4,11.25,11.8,35.8,13.1,189.4,19.85,24.6,26.4,22.2,88.1,43.8,20.95,52.0,105.0,74.4,19.45,28.6,24.1,81.4,45.7,49.5,28.6,78.35,103.5,14.6,17.9,20.4,17.45,80.9,38.45,11.300000000000002,11.85,35.85,13.15,189.9,19.9,24.65,26.45,22.25,88.2,43.85,21.0,52.1,105.4,74.5,19.5,28.65,1029.2571428571428,5810.0,71.46214940838274,210.0,194.55432539682533,738.503164862464,780.0,250.0,1760.0,2025.2371847674594,16752.5,9530.0,315.44435297959717,1838.093300737111,17740.0,3395.85109972569,373.3333333333333,13595.0,50.0,12687.5,9892.547722488333,3646.1166058395265,2635.0,448.61627313828365,1085.0,4329.454947387305,1006.3524859827738,140.0,1840.2472603196497,18305.217022185232,824.8856771729571,1887.2131159510668,90.81289707025002,252.69251237432164,191.09048618048627,488.88168439158704,471.05826341251384,82.83917833800186,1050.256495882562,1014.3533159057765,9450.0,8427.5,320.0,632.6576749995083,10670.886752605571,2656.0064264323814,250.0,13900.0,130.73333333333335,7945.0,6072.971452751475,1606.285790689529,1540.0,357.4305555555556,940.0,3758.356901948085,540.0,82.4575,884.6603189603546,6489.540428224283,390.39785157094366,55290.0,170.0,419.98197854031866,205.80672092696878,1463.4406568004238,2370.0,228.9418380994995,3460.0,5680.6526617524805,28422.0,23750.0,361.71575959837764,2310.0,47960.0,9530.0,829.2611172524112,32110.0,65.0,22043.333333333332,20210.0,9314.289506618063,4942.160426265475,470.0,1426.5688095238095,10980.0,1930.0,89.53345238095237,3402.8486965188413,23460.0,1090.3468435826057,1851.3541951016484,109.81928571428568,345.0,311.5169991070416,722.5872307334758,461.95831440281495,102.35543650793652,2050.0,1117.0318549237634,15160.0,13032.289337276863,309.5293147120135,706.724701572374,12530.0,3580.0,386.9241898092148,20390.0,169.89401515151516,11263.333333333334,8058.477717337564,2080.0,3160.0,450.0,1395.5398412698414,4457.968812903505,791.6445299093291,120.0,1099.8523615360573,10700.0,504.7895555703224
1,24.05,80.6,45.1,48.9,28.2,77.7,103.0,14.35,17.7,20.05,17.25,80.3,38.05,10.95,11.5,35.45,12.9,186.5,19.5,24.4,26.3,21.65,86.1,43.8,20.55,51.9,103.3,74.3,19.7,28.375,24.1,80.9,45.2,49.025,28.25,77.9,103.4,14.4,17.8,20.1,17.3,80.5,38.15,11.0,11.55,35.5,12.95,187.9,19.55,24.45,26.35,21.7,86.2,43.85,20.6,52.0,103.6,74.4,19.75,28.45,1023.5600000000001,1590.0,132.59590298590297,621.0574441910697,147.83156413031412,740.0,360.0,170.0,1351.8172854034935,847.293527599275,15400.0,7600.0,180.09501202589615,818.1457142857142,10918.57142857143,4499.645912916127,490.0,6883.333333333333,59.44500000000002,14090.0,6567.073377875573,1980.0,1875.1697930826188,254.95523213714395,410.0,2020.6539642318999,539.2692269517687,64.95321428571428,2395.0,14850.0,665.0,1785.8949879848117,87.79987498612499,570.0,205.80379620343516,935.1398366311097,400.0,96.49303306514605,2112.134220616126,938.9859931723752,9500.0,11516.666666666666,309.6483333333333,671.4924225034051,13965.0,6740.744185491566,235.67884716146702,6231.701194569315,86.31507076257076,14328.0,7810.0,1257.3899985157304,1613.519403040985,550.0,369.5053571428571,2850.5740215331293,575.8276049165729,100.0,1209.7541970605573,16877.07503252664,655.1174009268816,4089.365883039891,287.6111111111111,651.8225406888367,302.60813852813857,920.0,780.576400571454,300.0,2520.4030459578016,1430.0,55964.0,23050.0,187.66615462152228,945.3083263575501,25610.0,12560.0,740.0,23140.0,68.82511904761905,24540.0,12140.0,3630.024990886122,7867.563561073135,585.1053269234546,437.9618493954453,5260.0,1920.0,77.27333333333334,3136.1706175440318,27496.666666666668,1120.0,1159.3722198357673,99.43720370315954,649.1201653781394,316.568247030747,1505.2327746119254,418.33906024127236,204.96237100310506,3332.131516292559,1067.7624573035032,18237.5,12737.299915867265,322.32986387881124,995.9080121482667,17100.0,11790.0,280.0,21450.0,240.0,20512.31446675801,10580.0,1982.5787922780414,2496.776963324031,622.5656751207189,581.4497640650466,5435.6825884916525,868.3066004951156,129.03188216668096,1720.0,27556.031335959346,529.9421403843091
2,24.2,80.9,45.9,48.85,28.5,78.0,102.9,14.5,17.6,20.4,17.45,78.6,38.1,11.1,11.85,34.65,13.15,184.7,20.1,24.95,26.4,21.85,87.5,47.35,20.75,52.4,103.1,74.5,20.95,29.4,24.25,81.0,46.0,48.9,28.55,78.2,103.0,14.55,17.7,20.45,17.5,78.7,38.15,11.15,11.9,34.7,13.2,185.2,20.15,25.0,26.45,21.9,87.7,47.4,20.8,52.5,103.4,74.6,21.0,29.45,1036.15,2223.340668185757,130.68493055555555,295.5541812354312,247.50962360568715,825.0,355.2696306693086,137.69705957527165,3335.0,4148.851834079864,27750.49183922678,15585.081864369346,582.2985164731978,1027.9870958305517,9413.741512209324,11271.402927277799,1670.1444561387239,7655.0,63.08142629257568,10717.73213106496,7727.4636580278675,2992.625409046329,2957.5720452842593,486.35536134433573,912.5,2950.0,890.0,182.4,1400.1060934906916,17593.85871530933,2480.118583401174,1620.0,113.45964285714287,351.3863152533743,193.76641468009115,560.8282142857144,330.0,124.28535714285718,1922.4241496464776,3813.2298241076005,12810.0,16320.0,470.10773487841215,1023.0184582760044,16768.333333333336,13413.851209559278,19422.5,11889.160737743927,102.93714285714285,10080.0,11138.75,6040.366412130254,1799.2962310778923,568.1235464570501,890.0,2173.833751266229,702.2916266151586,118.87069985569985,952.8529480341841,18388.333333333336,1450.0,8518.043061808474,326.58234438100175,520.0,419.2784454948043,2103.485968818056,1228.408870851371,440.6449064880261,4505.964829896614,10340.688762593369,30475.0,21174.983028384493,810.0,2530.0,19152.00521204284,24087.175150175757,3039.932460085289,15332.274941562959,97.26817865141393,17419.166666666664,14485.0,5348.654826680434,6425.778615786472,760.0,1170.0,5889.422222222222,1928.0335870010447,338.7043545068717,3651.6591822747114,61910.0,5075.445738355566,2840.0,54.31929608447744,301.92401515151516,527.9919977896647,1540.5773894602264,293.5769709431435,139.6410704789756,3995.4693565639323,2573.167275556797,30318.75,30661.9965655981,676.0725100170803,899.2240755404723,42426.1176460375,21280.0,10761.620415426145,21895.06622810958,125.88105699855701,26915.454545454544,19415.0,6406.343233940713,2607.49948284057,743.7323809523809,1175.1968875702041,3990.0,1208.3236401833396,102.6547107059607,1220.0,31900.333333333336,3830.0
3,24.05,80.6,45.55,48.65,28.300000000000004,77.8,102.3,14.35,17.55,20.2,17.35,78.7,37.7,11.0,11.8,35.0,13.05,185.5,19.95,24.7,26.05,21.95,89.1,47.55,20.55,52.3,104.2,74.5,20.95,29.15,24.1,81.2,45.65,48.7,28.4,77.9,102.5,14.4,17.6,20.25,17.4,78.8,37.75,11.05,11.85,35.1,13.1,186.0,20.0,24.75,26.1,22.0,89.4,47.6,20.6,52.4,104.8,74.6,21.0,29.25,1032.0,3230.0,75.35191006727189,256.61626731112034,254.03571295244595,820.0,270.7430542413075,187.6965967264497,1750.0,3489.2455886400708,9040.0,10550.0,790.8249382821979,1455.0,17730.0,9659.35853558988,751.8638167388167,9772.5,50.48629984051038,10465.0,11516.666666666666,3080.0,3831.3612478969426,355.9619504569505,755.3910956227198,3370.0,1097.3090985881252,147.38849705849702,925.8880640724783,28591.281688841875,1634.173623394306,1159.0217712140932,116.38567466224008,420.0,213.36743836505025,715.0990653056095,267.30027511139656,260.0,1431.4240367965372,1792.5375510648582,8566.311207817345,12044.264563953306,765.2333649182553,835.5336134580585,8670.0,5670.0,781.4885966278302,12098.268818197392,102.27860389610389,12627.5,7010.0,3130.0,1110.0,400.0,566.6666666666666,2728.2393251393696,828.1950988564108,104.91166666666665,1042.739521141868,13430.0,885.0268336481748,9810.0,273.21124296390747,499.5193345282038,464.90824631251087,1090.0,1381.4618887117667,370.0,4550.177680128205,7282.530538725588,27570.0,26631.834645319326,1744.8249949495532,2343.059171372492,42440.0,16763.073917058995,1360.0,24765.74853585039,62.231071428571425,14013.333333333334,16729.236336755668,8000.0,5370.0,511.7825046291601,1110.9193074816162,8590.0,2883.7904704449775,172.63428571428574,4150.0,53924.130626487524,2340.0,1155.51064582042,39.36016594516595,398.83619062637854,220.0,740.0,248.7269796280157,274.1108650749048,3030.0,2050.0,13668.15211320468,14694.852638107028,1571.3812837958258,1030.0,22790.0,10470.0,1050.0,20995.785872393324,90.0,22399.23076923077,13827.5,3800.400954899786,1990.0,446.0,816.9613190967185,4862.5177297778355,1187.1539320917414,185.32444444444445,1433.4501980815521,31202.0,700.0
4,24.6,81.35,45.85,48.54999999999999,28.649999999999995,78.4,102.8,14.85,18.0,20.4,17.8,77.96666666666667,37.85,11.2,11.9,36.35,13.15,187.8,20.45,25.3,26.5,22.05,89.9,48.6,20.9,52.7,105.8,75.1,21.0,29.35,24.65,81.9,45.9,48.6,28.7,78.5,103.0,14.9,18.05,20.45,17.85,78.08333333333333,37.9,11.25,11.95,36.4,13.2,188.0,20.5,25.35,26.55,22.1,90.0,48.65,20.95,52.8,105.90000000000002,75.2,21.025,29.4,1045.85,2490.0,96.07302255106437,441.3127958152959,240.0,1201.548581296577,579.7135050493025,203.56759654152924,3897.989778257205,2993.448963214504,22723.75,22332.666666666664,940.0,833.7557480657233,24505.5,6965.0,471.29598984065086,12522.72596083703,201.19279991150177,18473.333333333336,11050.833333333332,2371.7354921822543,7526.329580185884,332.7577897622227,670.186077867094,3770.0,1120.8333333333335,255.13881341160894,786.3638702978466,27885.0,2644.1984049306325,2949.3664454832756,98.52953520762645,340.0,205.249511117967,1039.838886279412,468.2320756835754,200.047976284781,4352.077145926669,2635.590634170861,25691.833333333336,27220.0,1305.0,1702.5,23615.0,7341.506949588524,641.1518752333878,17213.68670751022,188.25,20272.142857142855,14851.571428571428,6679.2831107103675,2099.6372296197387,312.64547619047624,582.5,4917.855431369297,1020.0,180.0,548.9523567105097,19225.465544859195,2075.0,2900.0,57.16297619047617,370.0,564.0823263183622,2250.0,780.7547219602877,375.10482432686,6565.0,4613.835714815952,30940.0,34651.66666666667,1155.0,2468.6517933099494,22432.428571428572,13630.0,954.803945782375,25059.47631820397,228.31666666666663,34130.0,29400.0,2175.6431178538373,6090.0,202.7652022445557,1058.6234816986691,8071.666666666667,1218.867685998812,152.03953935018785,1558.8805508127566,51562.51490055727,1710.0,6251.5461568295195,89.3125,691.1973735722624,355.1587870136399,1516.9235317460318,1354.904537110288,212.76096922944376,8523.046459974203,3732.5,52340.0,79982.44111089599,1690.0,2144.0560552029124,40951.739130434784,12628.646433434207,1401.2489719776931,25775.0,500.0,49198.33333333333,26426.666666666664,7501.652151737016,4711.574539515885,280.0,1046.7231017958452,9210.0,1750.0,258.9461198113264,757.689206296332,36905.0,5081.586501518556
5,24.5,81.1,45.7,48.45,28.55,78.9,102.4,14.85,18.0,20.599999999999998,17.75,76.4,38.15,12.449999999999998,12.5,36.0,13.25,185.8,21.05,25.3,26.5,21.95,88.6,48.75,21.0,53.3,105.1,74.4,21.25,29.05,24.55,81.3,45.75,48.5,28.649999999999995,79.0,102.5,14.9,18.05,20.65,17.8,76.5,38.2,12.471428571428572,12.55,36.1,13.300000000000002,186.0,21.099999999999998,25.35,26.55,22.0,88.8,48.8,21.05,53.5,105.8,74.5,21.3,29.1,1047.6,1157.1865153036813,210.0,510.0,337.1747070831575,976.2032890532697,1033.4024637681161,154.9608953241217,2832.668349257575,1678.368179144224,17693.333333333332,16090.0,1180.0,1334.553207779091,14325.0,9607.5,741.7815312465312,11496.666666666666,96.66666666666667,11330.0,14533.333333333334,1945.9530831167615,4704.400116692052,410.0,530.0,5517.929780147296,821.2100854587728,110.0,5820.0,17640.0,1134.6153746055666,2969.5273329577626,47.77072032542621,576.7560982089541,1900.5578943474382,1170.0,745.772406959821,320.0,3510.0,1147.0085359262523,28116.666666666668,13658.09829240123,1445.0,2540.6960540386212,22850.0,13050.0,590.8489054651058,8784.183552642486,438.8395072065277,10767.5,12040.0,1843.1501707734426,2960.0,443.3173334100538,694.2207142857142,5584.371313609104,1748.7447944051157,90.0,1835.40287501399,13970.140524904891,1004.2696336906648,5040.0,324.0363766131083,620.0,851.6108333333334,1266.8354493463728,1610.0,178.91294780598372,4994.166309483456,2254.0068396681036,28285.0,26660.0,2460.0,2670.0,24252.5,26398.889219685574,1180.503323037324,22094.982269515032,100.0,12400.0,32810.0,3040.0,12050.0,850.0,973.281529965869,16304.009907642963,1339.726767414053,107.31990740740741,3287.8061090445185,32530.0,1590.0,5690.0,50.0,936.8129054526682,670.8745665752679,1940.0,980.0,491.16650298869405,6097.538549727853,2947.4936965724714,60090.0,22020.757322084424,1960.0,3800.0,43980.0,20349.32341411086,850.0,27483.333333333332,137.70618966015707,20790.0,18550.0,3439.0769158529333,2660.0,493.48385483939893,922.4649059498317,9773.411954684518,1639.5023721614257,152.42465895215892,1500.0,27740.0,1140.823626311705
6,24.55,81.6,46.5,48.65,28.85,78.9,102.8,15.0,18.05,20.75,18.1,77.1,38.95,12.9,12.45,35.85,13.3,185.9,21.0,25.8,27.5,22.0,90.9,47.8,21.3,53.4,105.6,74.5,20.8,29.15,24.600000000000005,82.0,46.55,48.7,28.9,79.1,102.9,15.05,18.1,20.8,18.15,77.2,39.0,12.95,12.5,35.95,13.35,186.0,21.05,25.85,27.55,22.05,91.0,47.85,21.35,53.5,106.40000000000002,74.6,20.85,29.2,1056.2,2883.333333333333,73.2744794805638,505.95332131135774,284.2859115825564,2359.1049396003905,728.3591739749935,120.0,6010.0,2645.0412682741244,19118.75,17476.904761904763,725.0,1551.9792188430904,19761.5,6532.5,520.0,17529.61151826891,151.85569303402715,13317.5,10924.75,4732.525218328821,4358.908476230205,380.0,559.3699526081563,5017.4491071428565,1361.2313881806672,122.81781746031746,2608.193963977545,19083.230805765765,2273.333333333333,2790.4272270666074,73.29023128788623,478.16090396015477,247.6656229749222,4058.8408391398684,660.6233215016866,208.3521406546381,5097.185730827795,1175.7158021893767,23280.0,15040.0,905.0,2314.6011501126254,19018.333333333336,5566.666666666666,609.1093008290836,15012.46606172417,362.94444294738713,10495.555555555555,10475.0,4084.166666666667,2797.9560662553904,371.4199801587301,556.9223773911273,5632.5,1915.0,130.4318220558681,2741.25,12834.778084044452,2620.0,8400.0,152.12235018889524,645.1500883380353,460.8097274081331,2687.5491458096208,2185.469789565586,202.46026187065164,8680.0,5546.5444858379315,28740.0,28645.165622499902,1270.0,3309.520229327324,28132.916666666664,10445.62582559008,982.132407318317,26173.32676658171,89.41312010154414,18620.0,46217.5,9535.0,8060.0,568.7168216446922,1065.0,19100.0,1852.5,129.93485667762275,10758.75,38359.375,2969.1284744416826,5353.826149665301,116.0922412474848,1036.8590485487655,525.0,4621.3525961993355,1364.8158148267623,307.5422686506926,12365.919627335195,3380.0,39090.92759322655,32254.208511069148,1760.0,2796.3356785221886,31770.0,9366.235852753365,1320.104094554031,23550.0,192.1967851770135,20460.0,18150.0,9051.666666666668,6181.655297443771,605.0,905.9869215969215,14290.63742713213,2572.1734269043727,276.51507351346476,1079.7337744305064,26362.5,4865.467304314896
7,24.45,80.9,45.85,48.3,28.95,78.9,102.8,14.7,18.1,20.8,18.2,77.1,39.05,12.5,12.25,35.85,13.3,185.0,20.85,25.3,28.0,21.8,91.5,47.5,21.2,53.1,104.5,74.4,20.7,28.95,24.5,81.2,45.9,48.4,29.0,79.0,103.0,14.75,18.15,20.85,18.25,77.2,39.1,12.55,12.3,35.9,13.35,185.1,20.9,25.35,28.05,21.85,91.8,47.6,21.25,53.2,104.7,74.5,20.75,29.0,1051.3,4856.669568909831,131.99778765232014,496.6666666666667,282.19000427556506,1790.0,610.7701388716182,246.5253362289584,3440.0,1860.0,20380.0,12610.0,960.0,1202.6785440002543,14833.75,8032.04219369488,811.1468691209143,16460.0,88.05594155844157,10040.0,12710.0,6684.412032439777,3975.0,240.0,470.0,6827.83760449703,703.8452505781847,65.74009226884226,9420.0,25026.666666666668,1917.3872218847537,987.1687458492996,97.48718132694023,262.0283531746031,223.09979753858454,5385.0,403.45692794939873,362.96849238478154,1810.2919503314479,2641.6927882228456,17290.0,12163.333333333334,918.3550821750349,995.0,10615.0,6130.0,1203.799649731197,9020.354505302033,102.62130952380953,10195.0,8070.0,3760.0,2220.0,357.2711102815462,536.6322168068065,5000.0,520.0,105.0,2114.0,11131.214324543793,1590.0,7591.125257717566,368.8904382416321,845.5484640832865,749.1257321169933,3876.8378759321927,1080.0,328.9706127829335,5092.966395751598,3970.1239058330843,32160.0,26760.0,1497.4567368413982,2749.634055941532,30890.0,17560.0,1035.0,17567.425362313727,108.93390151515146,19370.0,24410.0,10560.352000602219,8432.568027543484,417.25,733.7794444444443,26007.353558448216,577.9992913154097,89.81547258297257,2320.0,53716.666666666664,2800.0,1938.7964516902118,76.2212481962482,451.099331966233,412.08666688059174,5948.088291026197,1217.5046038364528,269.1782961350339,2538.399075283419,4143.906768741758,36273.333333333336,29680.0,1350.0,1436.8660314396705,17200.0,11860.0,1404.79370386247,33171.19893255511,151.445,16890.0,16893.65408980226,7800.0,4664.141344922397,358.7658333333334,667.9378874898491,9770.0,1113.652177690748,83.62361111111109,1099.873286131158,24165.0,2170.0
8,24.6,81.5,46.5,48.4,29.05,79.0,102.9,14.85,18.75,20.9,18.35,79.2,38.85,12.800000000000002,12.35,36.8,13.300000000000002,184.8,21.35,25.65,28.1,22.0,92.85,49.55,21.5,54.0,105.4,75.1,20.8,30.1,24.65,82.0,46.55,48.45,29.1,79.1,103.0,14.9,18.8,20.95,18.4,79.3,38.9,12.85,12.4,36.9,13.35,185.4,21.4,25.7,28.15,22.05,93.0,49.6,21.55,54.1,106.0,75.2,20.85,30.15,1065.1333333333334,3970.0,65.84220420744295,527.5268754672303,271.93909184211674,1320.0,2232.2246659304747,266.83291666666673,2510.0,6877.590408727516,24380.0,22730.0,572.0,1060.8405861830379,15025.0,4570.469149414622,1136.8884970272873,10240.0,62.482352092352095,19922.5,19040.0,2047.0947001657873,5330.0,665.6753863320977,411.66740805635965,4759.840354350456,464.3700268234714,50.41813492063491,1211.069528922443,24765.0,1387.5,7360.0,394.3934534191444,470.0,189.88991343260898,1775.903906593682,617.031635794662,212.14657259407264,2616.6806455815076,8105.0,22410.0,19460.0,530.0,1170.0,13071.818181818182,5502.775222775555,1005.7754959695881,17125.775686542067,68.6777642719787,17170.0,28243.333333333332,2470.0,2445.0,473.62539188276173,376.6666666666667,5943.074004584292,578.3565072820679,147.7482559523809,1435.0439842936944,15627.180152932116,2690.0,8938.993832731598,115.25565210975812,678.4781432632947,720.0,2130.0,1266.1540111478064,153.6189448051948,7530.0,10490.0,43720.0,42000.0,997.3451806811659,1500.0,36686.666666666664,10650.0,1476.6666666666667,28240.0,71.62943628573547,23650.052874760117,32120.24130952381,4114.344443171134,17039.42665968988,566.638315654112,700.0,8819.35049396298,802.0601388888888,60.12222222222223,1928.658372974719,57300.0,1944.9162876762143,9080.0,507.43030142816133,740.5936118198379,280.74547562782124,4085.0,1492.3227570519862,409.2847527472528,5130.0,11995.049339176163,41080.0,51630.0772270331,1230.0,1940.0,32540.0,10231.190202498952,2560.0,32714.22869393129,399.2915859937563,27950.0,55600.0,5590.0,9145.80337884563,836.7183365193334,970.0,10393.33658093705,1090.0,220.0,3150.0,22710.0,4042.5
9,25.0,81.7,46.25,48.5,28.9,79.2,102.5,14.9,19.0,20.75,18.25,78.6,38.65,12.75,12.4,37.5,13.15,184.9,21.150000000000002,26.0,28.25,22.15,92.1,50.9,21.35,54.8,105.4,74.9,21.05,30.2,25.05,81.9,46.4,48.55,28.95,79.3,102.6,14.95,19.0,20.8,18.3,78.8,38.7,12.8,12.45,37.6,13.2,185.0,21.2,26.05,28.3,22.2,92.4,51.0,21.4,54.9,106.3,75.0,21.1,30.25,1070.1666666666667,2935.0,284.4629866294424,680.9155167817319,638.0537237762237,1790.0,845.0,268.1382413635327,4393.333333333333,4870.986327823676,20606.0,17960.0,680.0,1175.5565580415384,13965.0,8190.392938736327,923.1101190476187,4943.934794949902,35.57627111647633,13496.666666666666,13962.70324607325,5740.0,4081.295957074295,360.0,930.0,5470.0,958.6205403821721,73.65860483602304,1310.0,25996.0,1345.3104786906686,6903.995238491591,98.95685064935066,247.24831272483007,530.3794919554867,2045.0,910.8207130924826,417.1577595303124,3490.0,8090.0,19518.571428571428,14670.0,413.16079149460114,2402.448921419048,8895.0,7515.0,930.0,8316.666666666666,678.0680728674178,12163.333333333334,10713.333333333334,7982.5,4102.598935073762,195.31893790849674,1243.933852961017,6825.283386495143,3344.5829872891136,126.82673724538276,686.5288969748611,23133.333333333332,2040.0,6500.0,485.76529151618945,776.6967615256955,1050.0,2676.6666666666665,1260.0,464.8884561602268,6438.571428571428,8050.0,27368.75,27736.666666666668,1140.0,1977.8088510256798,23737.478705366644,16756.666666666668,1320.925443553485,16972.684231714797,44.0830142642606,17687.85714285714,23227.937940222062,9719.458909512865,4070.6238312053424,480.0,1333.1201785124065,13571.362928207522,1278.6985917910392,58.2770863276671,1550.0,28560.0,2280.0,11790.0,233.01948451534696,249.28544679455254,1135.8792326765079,3680.0,2230.0,605.3084907429828,10876.282828268555,12650.0,26840.0,29720.0,724.1580667060774,4735.353777996384,21030.0,17370.0,1344.0877316182234,15040.140191688371,51.01693945674207,27620.126153846155,15880.0,12223.333333333334,6736.243991085844,415.243689015233,2090.0,13779.054965852227,5316.205471197829,158.96666666666664,1196.460183653012,46690.0,3300.0
